batch_id,station,cycle_time_s,station_util,queue_len,downtime_hours,scrap_count,rework_count,scrap_cost,downtime_cost,unit_value
B0084,Packing,25.79,0.6196,3.64,0.324,1,1,119.34,340.58,93.49
B0085,Cutting,41.3,0.7457,6.46,0.666,4,3,119.45,329.68,97.47
B0085,Welding,53.4,0.8839,18.81,1.479,5,6,120.11,337.7,93.55
B0085,Assembly,67.68,0.9164,40.3,1.185,7,8,121.63,334.29,97.72
B0085,Packing,29.84,0.5985,4.17,0.427,2,0,120.19,350.21,96.52
B0086,Cutting,38.35,0.7319,5.57,0.588,4,1,121.06,350.12,98.11
B0086,Welding,55.87,0.8436,21.86,1.354,3,6,119.25,353.65,96.03
B0086,Assembly,68.74,0.9326,30.88,0.77,8,11,120.76,346.63,96.46
B0086,Packing,26.8,0.6319,2.97,0.302,1,0,113.47,349.12,96.21
B0087,Cutting,38.84,0.6976,4.25,0.782,3,2,117.36,327.02,97.6
B0087,Welding,54.89,0.8832,24.82,0.7,6,5,115.16,339.72,94.22
B0087,Assembly,59.16,0.9611,21.91,1.915,5,6,117.93,350.28,93.81
B0087,Packing,28.66,0.6292,3.19,0.418,1,1,120.24,343.32,93.46
B0088,Cutting,39.9,0.7482,4.45,0.76,2,3,123.8,339.53,96.11
B0088,Welding,53.47,0.8666,18.6,0.771,6,3,120.82,341.4,94.77
B0088,Assembly,64.61,0.975,28.51,1.352,6,7,122.76,339.88,95.65
B0088,Packing,28.64,0.6253,3.45,0.196,1,1,120.0,324.53,97.49
B0089,Cutting,38.98,0.6987,5.83,0.795,4,2,116.46,355.07,97.76
B0089,Welding,48.68,0.8898,17.34,1.013,3,6,113.23,355.05,95.18
B0089,Assembly,61.56,0.9468,23.23,0.796,8,7,121.31,323.62,96.74
B0089,Packing,26.43,0.6275,2.95,0.23,2,1,120.16,351.32,96.44
B0090,Cutting,43.69,0.7473,7.03,0.59,2,2,113.78,330.04,93.26
B0090,Welding,49.57,0.8778,15.0,1.149,4,5,121.41,356.24,96.77
B0090,Assembly,67.14,0.9146,29.35,1.875,8,5,115.98,329.81,94.36
B0090,Packing,27.35,0.6095,2.72,0.276,1,1,120.83,337.79,98.83
B0091,Cutting,42.53,0.6945,5.5,0.745,3,2,113.86,327.19,97.42
B0091,Welding,54.97,0.8282,22.31,1.358,4,4,123.28,356.17,98.55
B0091,Assembly,65.35,0.9132,38.67,1.088,5,5,114.67,349.84,95.7
B0091,Packing,27.57,0.588,2.91,0.329,1,1,121.25,325.75,96.49
B0092,Cutting,39.0,0.735,7.9,0.553,3,2,112.79,353.64,93.97
B0092,Welding,50.71,0.8861,18.65,1.132,5,3,118.2,330.8,95.64
B0092,Assembly,63.4,0.9086,27.61,1.554,11,5,115.4,346.92,93.61
B0092,Packing,29.64,0.6166,3.91,0.319,1,0,118.06,347.44,93.47
B0093,Cutting,43.7,0.7238,4.64,0.566,3,3,117.91,335.08,95.36
B0093,Welding,54.82,0.8611,20.68,1.45,8,5,122.85,330.8,95.56
B0093,Assembly,61.79,0.9043,26.92,0.821,11,5,123.1,328.34,93.42
B0093,Packing,28.19,0.5946,2.9,0.394,2,1,122.66,341.47,96.99
B0094,Cutting,39.33,0.7147,7.76,0.63,2,2,119.15,350.15,98.37
B0094,Welding,53.38,0.826,13.85,0.788,5,6,120.54,333.29,97.88
B0094,Assembly,66.96,0.9245,31.53,1.244,5,9,119.47,327.97,98.54
B0094,Packing,29.95,0.5989,3.55,0.22,2,1,117.82,327.37,95.43
B0095,Cutting,42.76,0.7056,5.11,0.406,2,2,122.08,337.65,97.95
B0095,Welding,52.07,0.8731,23.99,1.43,4,3,116.0,330.64,94.89
B0095,Assembly,64.01,0.9568,22.61,1.767,10,9,121.23,331.48,93.42
B0095,Packing,28.48,0.5889,2.09,0.294,1,1,118.69,341.73,97.42
B0096,Cutting,39.03,0.7456,5.16,0.452,2,2,119.76,351.49,94.06
B0096,Welding,51.43,0.8696,22.34,1.41,8,4,114.19,341.33,94.49
B0096,Assembly,64.24,0.9299,25.1,0.78,12,6,121.54,336.4,93.44
B0096,Packing,26.95,0.6177,2.02,0.333,2,1,119.45,327.33,98.29
B0097,Cutting,39.24,0.7436,8.28,0.396,2,2,119.17,342.87,95.74
B0097,Welding,50.02,0.8741,20.01,1.248,6,4,120.21,339.46,96.91
B0097,Assembly,60.25,0.9142,25.56,1.286,13,5,114.89,355.51,94.36
B0097,Packing,28.82,0.5937,2.25,0.402,1,1,123.82,351.9,98.03
B0098,Cutting,41.53,0.7271,8.35,0.66,2,3,120.27,348.01,93.31
B0098,Welding,54.52,0.8815,21.18,0.958,6,4,119.62,347.96,96.29
B0098,Assembly,68.06,0.9567,23.67,1.08,9,7,114.8,350.3,97.32
B0098,Packing,26.19,0.6275,3.27,0.388,2,1,113.39,349.04,98.3
B0099,Cutting,40.45,0.7476,5.09,0.355,5,3,115.71,343.78,98.03
B0099,Welding,49.49,0.8629,20.17,1.339,4,2,115.9,343.38,96.21
B0099,Assembly,60.47,0.938,31.22,1.709,9,7,118.37,348.99,93.93
B0099,Packing,27.63,0.6026,2.86,0.347,1,1,122.34,332.86,94.02
B0100,Cutting,41.96,0.7433,6.23,0.788,2,2,120.48,350.44,95.86
B0100,Welding,52.3,0.8315,23.47,1.352,8,6,122.01,325.5,95.98
B0100,Assembly,62.21,0.9043,24.52,1.798,12,8,118.26,351.37,98.23
B0100,Packing,30.11,0.5953,3.08,0.388,2,1,119.6,342.15,97.22
B0101,Cutting,41.83,0.7219,7.38,0.482,4,2,114.82,344.2,98.41
B0101,Welding,49.95,0.877,22.89,1.175,3,3,114.91,340.7,97.27
B0101,Assembly,64.83,0.9762,30.04,1.026,5,10,119.86,330.06,94.39
B0101,Packing,29.84,0.6287,2.9,0.393,2,1,112.25,355.51,93.33
B0102,Cutting,43.72,0.735,6.59,0.582,2,1,119.23,346.41,95.71
B0102,Welding,51.26,0.8685,20.22,0.92,6,3,112.62,342.34,97.0
B0102,Assembly,65.97,0.94,35.73,1.226,12,11,112.28,349.14,94.76
B0102,Packing,28.0,0.5875,3.99,0.231,1,1,113.27,328.02,97.04
B0103,Cutting,38.71,0.6954,5.77,0.564,2,3,119.35,350.08,98.6
B0103,Welding,49.85,0.8693,23.43,0.636,6,3,117.92,352.48,96.25
B0103,Assembly,62.96,0.9645,21.47,1.313,9,7,122.02,338.86,97.1
B0103,Packing,26.08,0.6061,2.65,0.17,1,1,122.48,335.05,98.57
B0104,Cutting,39.91,0.7121,4.82,0.461,4,2,122.77,340.94,94.61
B0104,Welding,51.95,0.8733,13.66,1.462,7,6,118.33,329.9,94.45
B0104,Assembly,59.58,0.9204,21.5,1.648,7,4,117.81,323.32,97.09
B0104,Packing,30.05,0.5858,2.53,0.352,1,1,112.12,329.85,94.19
B0105,Cutting,40.67,0.7364,8.24,0.422,3,3,112.48,352.86,96.51
B0105,Welding,48.55,0.8409,13.85,0.869,8,5,117.19,324.55,95.36
B0105,Assembly,66.57,0.9702,23.18,1.544,10,10,119.48,336.6,94.45
B0105,Packing,29.0,0.6043,2.6,0.226,1,1,121.7,344.32,96.95
B0106,Cutting,43.21,0.734,8.37,0.412,4,3,118.65,338.72,97.15
B0106,Welding,48.33,0.826,15.84,1.503,3,5,119.95,344.69,95.73
B0106,Assembly,62.74,0.9049,33.29,1.815,6,6,114.1,328.98,95.98
B0106,Packing,27.2,0.6161,2.93,0.196,1,1,113.65,343.16,98.23
B0107,Cutting,38.69,0.6995,8.17,0.719,3,1,119.26,351.53,95.44
B0107,Welding,53.98,0.8715,16.34,1.029,6,5,116.77,350.78,96.49
B0107,Assembly,67.78,0.9459,37.66,1.245,5,5,123.6,342.66,96.42
B0107,Packing,25.92,0.5873,2.14,0.364,1,1,119.75,336.47,98.81
B0108,Cutting,37.99,0.7043,5.67,0.42,2,3,119.97,351.74,97.56
B0108,Welding,48.96,0.8897,13.44,1.393,3,5,113.07,332.11,93.44
B0108,Assembly,61.54,0.9544,41.51,1.68,10,6,115.32,347.99,96.73
B0108,Packing,25.79,0.6117,2.87,0.398,2,1,117.26,343.86,95.45
B0109,Cutting,42.04,0.7135,7.39,0.338,2,2,116.22,329.72,94.67
B0109,Welding,52.21,0.8854,17.38,0.788,3,5,113.77,323.41,98.12
B0109,Assembly,59.49,0.9115,30.68,1.822,7,11,118.63,326.02,97.06
B0109,Packing,26.02,0.6236,2.91,0.254,2,1,118.46,348.09,98.39
B0110,Cutting,40.25,0.71,6.03,0.362,2,3,116.9,340.17,93.31
B0110,Welding,50.92,0.8746,24.13,0.846,8,6,117.96,350.79,96.18
B0110,Assembly,66.92,0.9317,21.97,1.013,13,8,112.68,328.43,93.34
B0110,Packing,28.96,0.6087,3.23,0.376,2,0,122.94,341.16,94.53
B0111,Cutting,40.71,0.7442,6.83,0.453,2,3,112.11,347.18,94.63
B0111,Welding,50.13,0.8434,15.38,0.922,8,3,119.81,346.36,93.14
B0111,Assembly,67.29,0.914,24.6,1.787,11,6,112.35,334.98,93.19
B0111,Packing,28.62,0.5962,3.55,0.338,1,0,121.63,356.63,98.49
B0112,Cutting,42.56,0.7301,7.69,0.596,4,2,114.98,352.45,98.26
B0112,Welding,56.04,0.8673,22.96,0.776,5,3,123.72,342.13,95.26
B0112,Assembly,60.51,0.9544,41.7,1.139,13,6,118.77,331.81,96.56
B0112,Packing,28.02,0.6111,3.28,0.407,2,1,113.94,333.1,94.39
B0113,Cutting,39.26,0.7349,4.88,0.718,3,2,112.67,351.66,93.49
B0113,Welding,50.03,0.8846,17.36,0.992,6,3,116.17,340.23,96.75
B0113,Assembly,68.22,0.9601,37.18,1.518,8,10,116.79,335.12,95.18
B0113,Packing,28.91,0.6284,2.17,0.416,1,1,116.6,326.72,95.69
B0114,Cutting,43.21,0.7002,8.66,0.735,3,2,120.51,326.84,97.02
B0114,Welding,55.97,0.894,13.88,0.71,8,3,123.28,325.32,96.7
B0114,Assembly,60.5,0.9279,39.12,1.527,7,7,120.12,343.51,97.66
B0114,Packing,29.81,0.606,3.28,0.342,1,1,122.18,324.58,94.69
B0115,Cutting,38.03,0.7356,7.25,0.569,4,2,112.1,336.32,96.43
B0115,Welding,56.04,0.8676,17.02,0.918,8,5,123.04,348.94,95.79
B0115,Assembly,59.47,0.9154,36.61,1.428,7,6,114.26,333.32,97.66
B0115,Packing,27.16,0.6078,2.05,0.333,1,1,113.2,332.85,96.9
B0116,Cutting,41.56,0.7475,5.27,0.329,2,2,114.01,326.95,95.01
B0116,Welding,48.2,0.8613,12.71,1.273,7,4,123.01,327.62,94.15
B0116,Assembly,59.92,0.9741,35.82,1.944,7,11,117.53,345.67,96.56
B0116,Packing,26.65,0.6132,2.55,0.242,1,1,123.44,336.26,95.46
B0117,Cutting,38.62,0.7279,7.03,0.744,3,3,120.17,350.76,97.68
B0117,Welding,52.8,0.8463,13.57,1.185,3,3,118.1,345.18,98.73
B0117,Assembly,60.79,0.9718,25.28,1.876,12,7,120.44,351.98,96.83
B0117,Packing,28.24,0.5887,3.52,0.38,2,1,122.93,353.83,98.85
B0118,Cutting,39.93,0.7449,6.33,0.327,2,3,117.5,353.35,94.67
B0118,Welding,54.35,0.8614,16.79,0.625,5,2,123.25,324.91,98.49
B0118,Assembly,66.91,0.9313,35.02,1.216,5,4,113.19,341.34,98.17
B0118,Packing,28.16,0.6007,3.19,0.287,1,1,122.67,340.51,96.51
B0119,Cutting,37.96,0.6941,6.65,0.713,2,3,119.0,349.33,97.83
B0119,Welding,55.69,0.8879,15.96,1.478,7,5,117.5,335.7,97.36
B0119,Assembly,61.5,0.9523,27.17,1.898,12,8,114.08,338.43,96.01
B0119,Packing,28.33,0.6122,2.65,0.196,1,0,117.65,344.95,95.29
B0120,Cutting,42.8,0.7173,8.13,0.67,3,2,114.94,348.25,93.76
B0120,Welding,53.93,0.8451,16.08,0.617,8,4,120.67,325.26,98.66
B0120,Assembly,61.1,0.9159,29.24,1.79,7,11,114.97,332.35,97.17
B0120,Packing,28.16,0.6235,3.89,0.324,2,1,115.76,338.71,97.92
B0121,Cutting,41.32,0.738,8.58,0.515,3,2,119.43,348.55,98.86
B0121,Welding,51.9,0.8657,21.42,0.602,6,4,114.56,343.5,95.01
B0121,Assembly,68.25,0.93,33.42,1.742,10,4,118.11,349.03,95.42
B0121,Packing,27.86,0.5905,3.66,0.326,2,1,120.76,337.48,97.79
B0122,Cutting,38.35,0.7296,5.29,0.66,2,2,122.6,337.51,93.43
B0122,Welding,55.91,0.8591,16.6,0.834,8,3,112.84,332.04,97.13
B0122,Assembly,65.17,0.9725,35.94,1.7,8,7,118.55,342.13,97.41
B0122,Packing,27.24,0.6337,3.56,0.342,1,1,122.75,344.91,93.46
B0123,Cutting,42.96,0.7423,4.39,0.607,2,2,113.9,351.97,98.61
B0123,Welding,55.69,0.8527,15.6,1.355,8,2,121.53,333.19,96.83
B0123,Assembly,63.4,0.9542,26.01,1.201,7,11,121.13,348.39,94.68
B0123,Packing,29.85,0.625,2.15,0.308,2,1,116.6,356.44,94.18
B0124,Cutting,42.18,0.725,7.82,0.306,3,3,120.51,331.38,97.81
B0124,Welding,50.88,0.8927,16.91,1.196,5,5,113.88,338.12,98.44
B0124,Assembly,68.59,0.9519,32.12,1.14,6,9,122.23,348.38,96.21
B0124,Packing,28.78,0.6222,2.63,0.364,1,1,114.33,334.34,94.23
B0125,Cutting,38.98,0.7029,4.62,0.71,2,3,123.3,344.95,98.39
B0125,Welding,56.0,0.8445,21.64,1.221,4,3,113.84,346.59,95.1
B0125,Assembly,60.14,0.9433,40.06,1.835,12,4,115.27,328.44,97.57
B0125,Packing,28.96,0.6055,3.47,0.26,2,1,116.66,325.48,96.5
B0126,Cutting,40.05,0.6951,6.12,0.773,2,2,114.34,341.8,96.65
B0126,Welding,49.82,0.8927,21.4,1.422,5,3,113.98,345.45,94.56
B0126,Assembly,59.29,0.9297,24.58,1.087,10,10,117.01,346.56,96.25
B0126,Packing,29.73,0.5925,2.89,0.25,1,1,114.08,323.01,98.4
B0127,Cutting,44.12,0.7352,8.23,0.523,4,3,113.75,345.92,94.01
B0127,Welding,51.96,0.8553,12.23,1.436,4,5,122.86,337.55,93.19
B0127,Assembly,61.59,0.9511,39.87,1.955,5,4,114.94,338.61,95.61
B0127,Packing,28.27,0.5989,2.27,0.2,2,1,115.88,326.85,98.72
B0128,Cutting,40.68,0.7235,6.52,0.426,3,2,116.15,326.44,94.78
B0128,Welding,51.46,0.8537,21.36,0.789,7,5,114.43,355.7,97.33
B0128,Assembly,61.41,0.9593,26.61,0.815,12,10,112.2,339.47,95.01
B0128,Packing,26.21,0.603,2.2,0.395,2,1,118.53,332.86,93.35
B0129,Cutting,44.1,0.7288,7.09,0.588,3,3,119.98,326.95,97.1
B0129,Welding,49.92,0.8583,13.58,1.09,8,4,119.9,345.28,97.03
B0129,Assembly,66.88,0.9263,25.32,0.858,5,4,121.4,326.23,95.56
B0129,Packing,27.7,0.618,4.11,0.23,1,1,120.14,342.68,97.17
B0130,Cutting,39.68,0.7192,6.03,0.456,2,3,118.71,346.31,96.96
B0130,Welding,49.85,0.8812,14.62,0.799,5,6,117.22,338.52,93.16
B0130,Assembly,65.05,0.9301,21.93,1.087,8,10,115.7,342.86,97.4
B0130,Packing,28.42,0.6206,2.24,0.368,2,1,120.1,346.48,97.39
B0131,Cutting,42.98,0.7114,5.25,0.368,4,3,113.57,356.22,95.22
B0131,Welding,51.13,0.8749,14.73,1.473,8,4,123.0,356.24,96.94
B0131,Assembly,59.32,0.9531,34.07,1.734,11,10,121.06,331.67,95.3
B0131,Packing,25.93,0.6243,2.59,0.423,2,1,118.43,330.08,98.55
B0132,Cutting,39.72,0.7141,4.33,0.72,4,2,116.59,325.0,98.67
B0132,Welding,55.96,0.8667,20.98,0.991,3,3,123.04,339.15,94.84
B0132,Assembly,66.66,0.9263,33.63,1.824,11,5,115.96,343.41,98.41
B0132,Packing,30.2,0.6092,3.39,0.317,1,1,120.29,324.53,94.99
B0133,Cutting,43.97,0.7298,6.21,0.472,2,2,117.84,348.85,96.89
B0133,Welding,52.99,0.8912,15.82,1.404,6,3,119.02,354.47,95.26
B0133,Assembly,59.96,0.9329,41.26,0.754,5,5,115.91,341.54,98.81
B0133,Packing,28.38,0.5989,2.32,0.359,1,1,113.99,336.56,95.89
B0134,Cutting,41.25,0.7132,6.48,0.478,3,3,117.71,343.42,95.39
B0134,Welding,53.81,0.8818,23.34,1.181,7,4,113.85,350.5,93.61
B0134,Assembly,67.82,0.9461,20.4,1.49,13,6,121.04,332.02,93.74
B0134,Packing,25.99,0.5875,2.06,0.296,1,1,119.2,327.77,94.25
B0135,Cutting,43.44,0.6992,6.36,0.465,3,2,117.61,336.26,95.38
B0135,Welding,52.21,0.8904,21.53,1.349,4,2,119.71,325.44,94.47
B0135,Assembly,64.2,0.9717,29.83,1.826,4,10,119.18,349.47,98.31
B0135,Packing,27.41,0.6071,2.58,0.333,2,1,112.62,342.21,98.68
B0136,Cutting,39.66,0.7178,7.21,0.664,2,2,114.35,341.29,97.81
B0136,Welding,53.5,0.8693,12.45,1.43,7,3,119.43,353.84,97.67
B0136,Assembly,67.08,0.9623,37.45,1.189,7,5,112.72,329.59,94.06
B0136,Packing,29.62,0.6284,2.1,0.32,1,1,113.31,347.45,94.94
B0137,Cutting,40.08,0.7201,5.82,0.516,2,3,121.6,340.21,94.18
B0137,Welding,55.18,0.8305,21.24,0.79,3,5,112.63,350.6,97.85
B0137,Assembly,63.81,0.9547,21.11,1.392,5,8,115.45,339.92,94.64
B0137,Packing,27.9,0.5862,3.31,0.389,2,1,119.68,325.5,93.78
B0138,Cutting,41.23,0.7203,6.0,0.385,3,2,113.72,344.58,97.63
B0138,Welding,55.0,0.8509,12.33,0.845,6,4,117.24,328.33,96.8
B0138,Assembly,65.92,0.9316,41.51,0.821,10,6,119.04,351.81,93.64
B0138,Packing,27.77,0.5962,2.67,0.29,1,1,116.43,353.32,93.77
B0139,Cutting,39.15,0.7006,4.4,0.771,3,1,117.12,345.71,95.42
B0139,Welding,53.93,0.8719,21.59,0.864,5,3,113.34,332.63,94.46
B0139,Assembly,59.23,0.9761,21.86,0.808,5,6,116.28,330.84,98.59
B0139,Packing,30.11,0.5888,2.88,0.349,2,0,112.52,355.69,98.56
B0140,Cutting,43.38,0.7369,8.21,0.653,2,2,123.32,341.09,97.92
B0140,Welding,49.15,0.8553,21.56,1.443,5,4,115.71,325.56,98.09
B0140,Assembly,67.1,0.9131,27.1,1.885,6,10,115.0,327.85,95.53
B0140,Packing,29.01,0.5918,2.23,0.314,1,1,117.3,344.16,94.21
B0141,Cutting,42.85,0.7213,6.21,0.738,3,3,120.09,342.49,98.32
B0141,Welding,49.6,0.8506,16.3,1.116,4,4,115.33,346.2,97.37
B0141,Assembly,60.86,0.9597,27.2,1.211,9,5,116.52,332.76,96.89
B0141,Packing,28.75,0.6104,3.75,0.253,2,1,113.31,331.51,94.47
B0142,Cutting,40.99,0.7445,8.12,0.327,3,3,114.84,346.53,95.31
B0142,Welding,50.07,0.8273,18.69,1.283,7,3,122.92,356.84,97.16
B0142,Assembly,61.83,0.9499,32.71,1.675,12,10,122.14,353.33,95.52
B0142,Packing,30.17,0.6051,2.68,0.353,2,1,123.8,329.45,98.45
B0143,Cutting,42.12,0.6982,4.39,0.787,2,2,119.65,353.02,94.54
B0143,Welding,51.47,0.8927,15.39,0.884,3,3,115.16,331.42,96.25
B0143,Assembly,63.12,0.9546,26.49,1.251,10,7,112.36,345.31,98.75
B0143,Packing,28.25,0.6055,2.68,0.299,2,1,118.55,333.28,93.19
B0144,Cutting,42.91,0.7119,4.41,0.645,2,2,114.47,340.56,93.73
B0144,Welding,56.1,0.8848,22.64,0.997,5,3,115.37,327.28,95.78
B0144,Assembly,63.23,0.9624,32.65,1.042,11,4,113.11,327.05,96.04
B0144,Packing,29.51,0.6327,3.67,0.276,1,1,117.31,339.35,97.1
B0145,Cutting,42.55,0.7191,6.68,0.536,5,2,112.31,352.77,98.38
B0145,Welding,50.52,0.8264,15.39,0.873,6,3,113.74,326.19,94.15
B0145,Assembly,68.41,0.9164,32.36,0.836,9,8,112.13,338.61,95.43
B0145,Packing,30.16,0.5886,2.94,0.27,2,1,123.01,351.72,98.44
B0146,Cutting,42.49,0.7321,8.68,0.559,2,3,118.97,333.16,94.68
B0146,Welding,55.62,0.889,17.95,1.008,3,5,119.03,338.32,97.36
B0146,Assembly,59.77,0.9334,39.11,0.997,12,10,118.0,334.74,98.82
B0146,Packing,28.07,0.598,2.71,0.187,1,1,122.26,354.4,94.54
B0147,Cutting,39.41,0.7047,4.31,0.589,2,2,115.23,343.29,95.21
B0147,Welding,47.94,0.8653,15.67,0.719,8,4,119.59,328.15,98.56
B0147,Assembly,59.8,0.9693,21.15,1.011,8,9,119.08,331.37,94.37
B0147,Packing,28.47,0.6031,3.43,0.347,1,1,123.46,343.92,95.87
B0148,Cutting,41.1,0.7139,6.4,0.634,3,4,116.75,334.85,97.83
B0148,Welding,51.77,0.8392,22.7,1.504,7,4,120.62,343.94,95.91
B0148,Assembly,65.3,0.9241,37.81,1.589,13,5,122.45,349.86,97.56
B0148,Packing,29.13,0.6242,2.94,0.288,2,1,123.42,339.58,98.28
B0149,Cutting,39.62,0.7409,6.01,0.788,3,2,114.7,335.86,95.6
B0149,Welding,53.01,0.8281,21.56,0.904,4,6,115.85,341.46,93.74
B0149,Assembly,60.8,0.9617,26.14,1.392,6,4,112.73,351.22,97.16
B0149,Packing,29.7,0.6287,2.84,0.327,1,1,117.36,329.31,98.77
B0150,Cutting,40.72,0.7281,7.45,0.693,4,1,119.53,330.22,97.94
B0150,Welding,50.45,0.8587,24.5,0.764,6,2,121.54,336.4,98.76
B0150,Assembly,59.09,0.9584,22.9,1.324,8,9,119.79,333.29,97.48
B0150,Packing,26.62,0.5862,3.8,0.395,1,1,121.29,338.71,97.13
B0151,Cutting,38.66,0.7267,8.24,0.705,4,1,119.81,333.29,94.09
B0151,Welding,54.83,0.8501,23.6,1.084,4,4,112.87,328.4,94.12
B0151,Assembly,60.01,0.9334,37.38,0.977,7,8,116.25,351.39,96.56
B0151,Packing,27.89,0.625,3.82,0.379,1,1,117.38,339.19,93.67
B0152,Cutting,41.76,0.6947,5.73,0.305,2,3,115.52,354.46,98.72
B0152,Welding,47.86,0.8564,18.45,0.586,3,5,113.62,354.47,95.89
B0152,Assembly,66.92,0.948,40.21,1.933,6,5,113.23,337.62,95.41
B0152,Packing,26.05,0.6312,2.95,0.302,2,1,121.99,337.85,98.37
B0153,Cutting,43.39,0.7144,4.83,0.334,4,3,115.92,336.59,98.56
B0153,Welding,50.95,0.8624,13.83,1.187,5,3,115.85,351.83,96.4
B0153,Assembly,66.89,0.9769,40.08,0.807,11,9,118.2,327.6,96.42
B0153,Packing,28.7,0.6018,3.16,0.169,1,1,114.2,328.81,94.88
B0154,Cutting,37.79,0.7281,6.62,0.309,5,3,121.03,349.19,94.75
B0154,Welding,54.22,0.878,14.95,0.978,7,3,119.64,344.58,94.4
B0154,Assembly,67.39,0.9036,34.49,1.186,8,10,117.14,331.5,94.66
B0154,Packing,27.39,0.6338,3.52,0.427,1,1,115.74,328.3,97.14
B0155,Cutting,38.89,0.7105,6.82,0.396,2,3,117.79,346.39,97.89
B0155,Welding,49.08,0.8647,22.63,1.403,6,5,123.64,325.45,93.15
B0155,Assembly,61.67,0.9172,24.19,1.565,7,6,114.56,341.61,98.39
B0155,Packing,29.31,0.5909,2.62,0.173,1,1,123.62,332.77,95.12
B0156,Cutting,42.68,0.7241,7.73,0.763,3,2,120.88,353.47,94.42
B0156,Welding,55.11,0.8563,14.57,1.279,5,5,123.88,323.22,94.42
B0156,Assembly,67.0,0.9361,35.56,0.749,7,8,113.96,333.74,98.82
B0156,Packing,26.56,0.6184,3.64,0.206,1,1,120.13,340.67,97.72
B0157,Cutting,43.13,0.7199,7.81,0.324,3,3,118.87,350.57,97.24
B0157,Welding,49.92,0.8848,23.43,1.275,4,3,113.76,328.63,93.62
B0157,Assembly,63.98,0.949,32.96,1.91,7,9,119.34,348.43,97.03
B0157,Packing,27.7,0.5903,3.43,0.197,2,1,122.86,330.33,96.61
B0158,Cutting,43.37,0.742,4.42,0.72,4,3,113.57,355.46,97.91
B0158,Welding,56.11,0.8313,17.38,0.785,5,6,115.85,344.35,96.51
B0158,Assembly,61.9,0.9624,29.93,1.801,8,9,121.53,353.18,95.69
B0158,Packing,29.66,0.6338,3.65,0.291,2,1,120.47,328.36,94.98
B0159,Cutting,39.29,0.7268,4.41,0.38,2,3,123.87,331.37,94.76
B0159,Welding,55.1,0.8684,19.63,0.837,8,2,113.18,335.74,93.44
B0159,Assembly,64.03,0.9314,35.14,0.928,11,7,112.86,340.27,93.57
B0159,Packing,27.51,0.6164,2.93,0.401,2,1,119.62,347.48,98.31
B0160,Cutting,39.64,0.7466,8.38,0.351,2,2,115.85,333.25,93.27
B0160,Welding,50.03,0.8729,24.14,1.007,4,5,118.59,346.96,95.22
B0160,Assembly,67.54,0.9221,36.98,1.581,10,9,123.21,326.87,96.18
B0160,Packing,28.11,0.6,2.64,0.353,1,1,117.57,345.39,97.65
B0161,Cutting,39.85,0.7073,7.03,0.573,3,3,120.3,355.52,96.2
B0161,Welding,52.79,0.8709,14.34,0.998,8,4,123.37,326.33,97.87
B0161,Assembly,68.11,0.9715,38.67,1.107,8,8,118.89,350.16,95.26
B0161,Packing,28.12,0.621,3.21,0.307,1,1,112.65,353.76,94.25
B0162,Cutting,38.49,0.7111,6.35,0.358,3,3,117.72,333.31,94.52
B0162,Welding,53.67,0.8665,22.53,1.399,5,6,112.84,352.9,94.21
B0162,Assembly,59.8,0.9171,28.82,1.524,7,7,122.85,323.15,93.47
B0162,Packing,26.87,0.5969,2.61,0.292,2,1,123.74,342.17,95.26
B0163,Cutting,42.14,0.6974,5.5,0.71,3,3,121.84,338.32,94.51
B0163,Welding,49.47,0.8578,24.16,0.899,6,2,115.62,345.52,95.97
B0163,Assembly,68.07,0.9372,25.55,1.731,11,10,123.54,354.14,93.15
B0163,Packing,28.46,0.6091,2.86,0.212,2,1,123.25,336.99,93.19
B0164,Cutting,43.43,0.74,8.49,0.698,3,2,122.38,332.76,98.78
B0164,Welding,52.38,0.8578,20.62,0.854,6,6,113.13,338.51,94.27
B0164,Assembly,62.09,0.9536,29.77,1.567,8,7,120.87,356.76,97.28
B0164,Packing,27.03,0.5989,3.24,0.33,1,1,114.72,337.15,97.51
B0165,Cutting,41.58,0.7221,6.94,0.653,2,2,117.29,347.49,98.69
B0165,Welding,53.98,0.8399,21.53,0.842,5,4,113.96,355.12,98.11
B0165,Assembly,64.74,0.9208,32.83,1.249,4,8,122.91,336.98,98.27
B0165,Packing,27.15,0.6138,3.25,0.34,2,1,114.27,343.67,96.26
B0166,Cutting,41.11,0.7045,6.68,0.329,2,1,118.22,351.05,98.84
B0166,Welding,53.22,0.8731,23.4,1.44,4,2,119.06,328.8,98.36
B0166,Assembly,62.46,0.9729,26.22,1.635,6,5,117.67,337.07,96.32
B0166,Packing,29.86,0.5946,2.17,0.234,2,1,118.71,343.32,94.16
B0167,Cutting,41.09,0.7218,4.98,0.454,3,2,112.63,326.99,96.38
B0167,Welding,51.71,0.8436,12.65,1.446,6,6,120.76,349.17,94.53
B0167,Assembly,59.13,0.9086,33.31,1.869,13,7,120.86,333.01,98.45
B0167,Packing,26.32,0.6145,3.37,0.314,1,1,119.0,324.93,96.71
B0168,Cutting,38.52,0.7441,7.67,0.606,4,3,120.16,347.17,94.86
B0168,Welding,52.02,0.867,20.84,1.461,6,6,117.23,351.83,98.69
B0168,Assembly,69.12,0.915,39.99,1.167,12,5,113.81,348.59,94.18
