shift_id,machine,Cycle_Time_min,util_pct,queue_parts,downtime_min,defects,rework_units,unit_price
S0141,Press 2,17.373,90.03,62.4,30.7,26,13,21.49
S0141,Press 3,8.996,46.75,6.1,9.9,2,1,21.79
S0142,Press 1,12.163,53.73,15.2,12.9,5,4,20.88
S0142,Press 2,17.11,93.18,36.2,34.6,23,9,21.14
S0142,Press 3,9.917,46.68,6.5,10.4,2,1,20.87
S0143,Press 1,12.269,53.95,12.5,19.2,4,3,21.26
S0143,Press 2,16.999,93.29,48.1,27.2,12,14,22.26
S0143,Press 3,9.068,46.75,6.6,5.7,2,1,21.31
S0144,Press 1,11.922,53.42,16.5,10.1,5,2,21.84
S0144,Press 2,16.848,88.62,44.2,32.4,24,10,20.66
S0144,Press 3,9.884,47.01,4.1,6.4,1,1,22.16
S0145,Press 1,11.518,54.43,8.1,12.9,8,3,22.13
S0145,Press 2,18.172,92.56,32.1,31.6,19,15,20.76
S0145,Press 3,9.739,47.4,4.0,6.9,2,1,21.18
S0146,Press 1,12.499,54.97,14.9,9.7,4,3,21.09
S0146,Press 2,18.379,89.62,50.3,48.5,16,9,21.15
S0146,Press 3,9.594,49.32,3.4,5.0,2,1,21.17
S0147,Press 1,11.449,53.83,11.8,11.6,7,2,20.7
S0147,Press 2,16.794,91.28,64.4,37.8,22,11,22.26
S0147,Press 3,9.365,49.11,5.5,8.9,1,1,21.38
S0148,Press 1,12.047,55.24,9.6,11.0,8,3,22.32
S0148,Press 2,17.712,92.1,59.7,34.3,12,15,22.19
S0148,Press 3,9.787,49.27,3.9,5.6,2,1,21.23
S0149,Press 1,11.642,53.82,16.4,19.4,7,2,21.74
S0149,Press 2,16.566,93.33,47.0,53.8,14,9,21.21
S0149,Press 3,9.869,47.11,5.6,8.9,2,1,21.93
S0150,Press 1,12.357,54.58,12.5,13.4,7,2,22.36
S0150,Press 2,17.07,89.24,54.6,46.4,25,13,20.75
S0150,Press 3,9.142,46.8,5.3,8.3,2,1,22.36
S0151,Press 1,12.561,56.63,13.5,11.0,4,4,21.9
S0151,Press 2,17.134,91.12,44.3,25.9,16,12,21.1
S0151,Press 3,9.204,48.39,4.1,6.2,2,1,21.35
S0152,Press 1,12.262,54.56,15.2,13.5,7,4,20.93
S0152,Press 2,17.895,88.88,43.4,51.9,14,11,21.1
S0152,Press 3,9.291,46.86,5.3,8.5,2,1,22.04
S0153,Press 1,11.516,55.61,13.6,15.6,8,3,21.84
S0153,Press 2,18.078,92.26,56.9,46.6,15,12,22.36
S0153,Press 3,9.124,47.22,4.3,7.1,2,1,21.99
S0154,Press 1,12.687,56.12,14.8,15.6,6,2,20.92
S0154,Press 2,16.776,93.44,53.8,33.1,11,11,21.0
S0154,Press 3,9.363,49.25,6.1,10.0,2,1,21.03
S0155,Press 1,12.665,54.58,9.0,10.0,7,4,22.34
S0155,Press 2,17.979,89.48,29.8,29.8,23,12,20.86
S0155,Press 3,9.403,49.38,5.9,7.7,3,1,21.41
S0156,Press 1,11.925,55.7,9.7,18.0,6,2,22.2
S0156,Press 2,18.525,90.24,46.9,44.6,11,13,20.99
S0156,Press 3,9.893,48.72,3.4,8.2,2,1,21.92
S0157,Press 1,11.803,53.61,11.5,10.4,4,2,21.7
S0157,Press 2,16.847,92.72,65.7,23.8,20,12,21.26
S0157,Press 3,9.949,48.07,4.8,9.3,1,1,21.06
S0158,Press 1,11.81,54.86,12.1,15.8,8,4,21.98
S0158,Press 2,17.338,91.55,55.1,26.8,24,11,22.15
S0158,Press 3,9.73,46.74,3.1,9.4,2,1,22.29
S0159,Press 1,11.868,55.97,11.5,11.9,6,3,21.24
S0159,Press 2,17.528,92.74,49.9,48.4,23,9,21.12
S0159,Press 3,8.882,47.16,6.7,9.7,2,1,21.35
S0160,Press 1,12.452,54.66,13.0,18.3,7,2,21.58
S0160,Press 2,17.448,92.17,51.9,49.9,12,7,22.26
S0160,Press 3,9.936,47.45,6.3,10.8,2,1,21.32
S0161,Press 1,12.54,56.56,10.9,15.8,5,3,22.06
S0161,Press 2,17.188,90.16,64.8,39.0,19,14,20.72
S0161,Press 3,9.12,48.25,3.7,9.5,2,1,21.44
S0162,Press 1,11.774,54.19,8.7,13.2,8,3,21.61
S0162,Press 2,17.956,93.39,41.8,47.9,14,10,21.15
S0162,Press 3,9.591,48.7,5.2,7.5,1,1,21.45
S0163,Press 1,11.825,55.74,12.9,18.5,8,3,21.3
S0163,Press 2,17.356,90.13,59.4,34.0,25,11,21.27
S0163,Press 3,9.581,49.15,3.7,11.0,1,1,22.16
S0164,Press 1,11.749,55.55,14.6,12.9,8,2,21.3
S0164,Press 2,16.865,90.76,37.1,37.2,21,9,20.66
S0164,Press 3,9.818,47.92,3.6,10.4,2,1,21.72
S0165,Press 1,12.561,56.06,14.7,12.4,8,3,20.96
S0165,Press 2,16.76,90.89,36.4,40.8,11,8,21.8
S0165,Press 3,9.871,48.36,3.8,5.5,2,1,21.86
S0166,Press 1,12.566,56.55,8.0,19.6,4,2,21.54
S0166,Press 2,18.118,91.17,47.4,49.7,21,8,20.81
S0166,Press 3,9.057,48.14,5.1,8.7,2,1,22.29
S0167,Press 1,12.716,55.18,9.2,15.2,6,4,21.75
S0167,Press 2,17.528,93.04,64.3,48.0,24,11,20.8
S0167,Press 3,9.369,48.19,6.7,11.0,3,1,21.18
S0168,Press 1,12.29,54.59,12.3,12.4,4,4,22.03
S0168,Press 2,18.541,92.69,32.7,52.4,14,9,22.31
S0168,Press 3,9.062,47.34,4.1,9.6,1,1,22.35
S0169,Press 1,12.425,56.45,14.4,16.2,4,4,21.93
S0169,Press 2,17.075,89.57,56.4,34.3,15,10,21.22
S0169,Press 3,9.781,47.53,4.9,5.9,1,1,22.02
S0170,Press 1,11.326,55.55,10.1,17.8,7,2,21.12
S0170,Press 2,17.538,93.27,62.5,48.6,18,12,22.05
S0170,Press 3,8.929,48.39,4.3,8.7,2,1,22.18
S0171,Press 1,12.314,55.44,10.0,9.4,7,4,20.68
S0171,Press 2,18.365,93.72,34.4,25.8,18,13,21.74
S0171,Press 3,9.159,48.92,4.7,5.6,2,1,21.31
S0172,Press 1,12.559,53.55,9.8,13.6,6,2,21.91
S0172,Press 2,18.295,90.11,34.3,51.5,20,9,20.7
S0172,Press 3,9.273,48.37,4.8,8.2,3,1,21.03
S0173,Press 1,12.229,55.79,15.3,15.5,7,2,22.15
S0173,Press 2,16.985,90.64,29.3,45.2,13,7,20.66
S0173,Press 3,9.339,46.62,3.1,7.2,3,1,21.18
S0174,Press 1,12.582,56.58,10.9,19.5,4,4,20.84
S0174,Press 2,18.142,88.62,33.3,37.0,22,10,21.47
S0174,Press 3,9.561,48.59,3.3,8.1,1,1,21.83
S0175,Press 1,11.678,54.22,12.6,9.9,5,3,22.03
S0175,Press 2,17.397,89.72,45.6,34.5,24,9,21.75
S0175,Press 3,9.747,46.87,6.7,7.4,2,1,21.39
S0176,Press 1,12.157,54.42,7.8,15.7,4,3,20.67
S0176,Press 2,16.686,88.6,54.5,27.2,18,9,21.18
S0176,Press 3,9.652,47.68,5.0,7.0,3,1,20.82
S0177,Press 1,11.931,55.09,11.0,13.6,6,2,22.23
S0177,Press 2,17.226,89.85,64.0,39.0,12,14,21.86
S0177,Press 3,9.025,47.38,7.0,7.3,2,1,22.18
S0178,Press 1,12.428,56.3,10.5,9.2,5,4,21.35
S0178,Press 2,17.975,91.23,52.0,33.6,15,11,21.46
S0178,Press 3,9.602,48.02,4.8,5.6,2,1,21.33
S0179,Press 1,11.408,53.91,14.9,13.1,5,4,21.93
S0179,Press 2,18.467,90.57,34.8,50.2,13,11,21.39
S0179,Press 3,9.364,48.16,5.5,9.8,2,1,21.79
S0180,Press 1,12.372,55.16,14.6,9.5,6,2,21.52
S0180,Press 2,17.886,89.37,66.6,37.5,16,15,20.84
S0180,Press 3,8.839,48.78,5.6,8.0,2,1,21.59
S0181,Press 1,12.319,55.35,11.3,14.5,8,2,21.11
S0181,Press 2,16.834,89.81,45.2,30.0,14,9,20.68
S0181,Press 3,9.453,47.03,4.5,7.9,2,1,21.62
S0182,Press 1,12.591,53.48,8.1,16.5,5,4,22.08
S0182,Press 2,17.065,92.77,45.9,50.9,12,9,21.96
S0182,Press 3,9.14,47.47,3.4,5.2,2,1,21.75
S0183,Press 1,11.658,56.43,16.4,11.5,7,3,21.11
S0183,Press 2,17.984,88.87,53.5,29.4,14,12,21.33
S0183,Press 3,9.324,47.98,4.3,5.1,2,1,21.0
S0184,Press 1,12.204,55.16,15.5,16.5,7,4,22.25
S0184,Press 2,18.305,91.29,62.5,48.5,13,12,21.05
S0184,Press 3,9.288,46.83,5.1,9.3,1,1,20.92
S0185,Press 1,12.464,54.57,8.1,18.4,8,4,21.03
S0185,Press 2,17.533,92.46,48.9,34.7,23,9,21.67
S0185,Press 3,9.489,46.92,3.6,7.6,2,1,20.93
S0186,Press 1,12.652,53.74,12.8,13.1,4,2,21.58
S0186,Press 2,17.173,93.72,44.0,37.5,16,10,21.28
S0186,Press 3,9.294,48.74,4.6,4.8,1,1,21.86
S0187,Press 1,11.36,55.86,10.7,9.1,8,3,20.68
S0187,Press 2,16.956,91.25,42.8,53.7,24,8,20.86
S0187,Press 3,9.932,48.31,5.7,9.1,2,1,22.0
S0188,Press 1,12.203,54.55,12.0,12.4,5,4,21.86
S0188,Press 2,16.668,92.99,48.6,52.6,14,12,21.02
S0188,Press 3,9.261,48.28,5.8,8.9,2,1,22.1
S0189,Press 1,12.115,55.51,8.7,9.5,5,2,21.89
S0189,Press 2,17.112,90.22,56.6,24.4,24,8,21.18
S0189,Press 3,9.921,47.02,4.9,11.0,1,1,21.59
S0190,Press 1,11.949,55.88,13.7,9.0,8,2,20.69
S0190,Press 2,17.476,93.5,32.7,38.8,12,13,21.25
S0190,Press 3,9.475,47.27,3.7,9.6,2,1,21.29
S0191,Press 1,11.803,56.59,8.5,12.9,8,2,22.33
S0191,Press 2,17.023,90.23,36.7,35.7,19,12,21.14
S0191,Press 3,8.955,47.39,4.4,5.9,2,1,21.47
S0192,Press 1,12.408,55.58,15.6,17.1,4,2,21.52
S0192,Press 2,18.539,89.64,62.4,53.7,22,8,21.38
S0192,Press 3,9.732,48.28,4.6,6.5,2,1,20.97
S0193,Press 1,12.119,54.05,9.2,9.1,5,2,21.88
S0193,Press 2,18.135,92.73,62.5,42.1,21,12,22.17
S0193,Press 3,9.698,46.76,4.5,9.4,2,1,20.87
S0194,Press 1,12.594,56.1,16.3,8.6,5,4,21.83
S0194,Press 2,17.468,89.22,61.3,37.9,20,8,20.87
S0194,Press 3,9.127,46.85,5.0,7.1,2,1,21.61
S0195,Press 1,12.378,56.11,14.6,15.2,6,3,20.89
S0195,Press 2,18.125,90.17,37.7,37.5,13,14,22.25
S0195,Press 3,9.921,48.25,4.8,10.5,2,1,21.19
S0196,Press 1,11.6,55.17,13.3,12.5,6,3,21.45
S0196,Press 2,18.48,90.99,29.2,35.4,17,14,21.78
S0196,Press 3,9.356,47.7,6.3,10.2,2,1,21.61
S0197,Press 1,11.283,55.85,13.9,10.0,4,3,22.08
S0197,Press 2,16.659,93.04,56.7,30.4,13,9,21.38
S0197,Press 3,8.986,47.62,4.1,11.0,2,1,21.61
S0198,Press 1,11.867,55.4,10.7,9.8,6,2,22.24
S0198,Press 2,17.168,93.1,50.7,35.7,18,11,21.4
S0198,Press 3,9.702,48.25,6.9,6.1,2,1,22.03
S0199,Press 1,12.633,53.73,12.2,13.2,6,3,21.3
S0199,Press 2,16.795,92.99,47.5,26.2,27,14,21.58
S0199,Press 3,9.898,47.79,4.9,5.5,3,1,20.86
S0200,Press 1,11.939,54.62,11.0,10.0,8,2,21.04
S0200,Press 2,18.446,88.96,34.7,50.9,25,12,20.96
S0200,Press 3,9.372,48.38,5.1,10.7,3,1,21.77
S0201,Press 1,12.014,56.16,14.6,8.8,6,3,21.96
S0201,Press 2,17.226,90.19,32.2,36.8,15,13,20.78
S0201,Press 3,9.528,47.65,5.0,8.6,3,1,21.51
S0202,Press 1,12.405,53.54,11.4,15.6,6,3,21.17
S0202,Press 2,16.515,91.41,57.5,34.7,17,10,21.43
S0202,Press 3,9.166,47.42,4.9,10.8,2,1,21.7
S0203,Press 1,11.502,55.17,13.3,17.9,4,4,22.13
S0203,Press 2,18.085,90.22,57.8,30.8,18,14,21.66
S0203,Press 3,8.988,48.3,3.7,5.2,2,1,21.88
S0204,Press 1,11.659,54.62,7.3,16.1,6,2,21.6
S0204,Press 2,16.839,89.42,40.0,30.2,25,7,21.49
S0204,Press 3,9.696,47.48,6.2,10.7,2,1,21.79
S0205,Press 1,11.986,54.69,12.3,18.4,4,2,21.53
S0205,Press 2,17.824,90.88,52.7,24.7,16,14,21.52
S0205,Press 3,9.932,46.73,5.7,4.8,2,1,22.34
S0206,Press 1,12.002,56.56,9.0,14.2,8,3,20.76
S0206,Press 2,18.188,92.28,57.6,27.0,21,8,21.96
S0206,Press 3,8.993,48.15,3.2,11.2,2,1,20.82
S0207,Press 1,12.21,54.2,14.7,14.3,7,2,22.26
S0207,Press 2,16.767,88.64,61.1,50.1,18,9,20.82
S0207,Press 3,9.746,49.25,3.1,5.8,2,1,21.25
S0208,Press 1,12.171,55.05,12.9,16.7,6,4,22.27
S0208,Press 2,16.596,89.4,36.1,28.8,25,11,21.96
S0208,Press 3,9.416,46.66,4.3,7.2,2,1,21.89
S0209,Press 1,12.304,54.53,11.9,16.4,5,3,21.66
S0209,Press 2,16.565,90.14,60.9,31.4,22,10,21.31
S0209,Press 3,9.747,47.72,3.3,8.9,2,1,21.65
S0210,Press 1,11.99,54.82,7.6,11.7,7,4,22.11
S0210,Press 2,18.062,90.45,46.3,29.0,24,9,20.98
S0210,Press 3,9.463,47.38,5.1,10.6,2,1,21.65
S0211,Press 1,11.39,55.97,14.3,14.0,5,4,21.17
S0211,Press 2,17.585,88.96,65.7,44.5,20,11,21.01
S0211,Press 3,9.829,47.48,5.9,9.3,2,1,22.02
S0212,Press 1,12.053,54.48,13.3,8.5,4,2,20.7
S0212,Press 2,17.307,91.07,57.0,39.8,23,15,20.95
S0212,Press 3,8.871,49.0,6.8,6.1,1,1,21.28
S0213,Press 1,11.995,54.87,11.6,11.2,4,4,21.57
S0213,Press 2,17.784,88.71,43.8,38.2,16,15,21.81
S0213,Press 3,9.719,48.26,5.7,6.2,3,1,20.94
S0214,Press 1,12.073,56.62,11.5,14.2,5,4,22.15
S0214,Press 2,18.481,91.87,33.2,29.2,19,11,21.33
S0214,Press 3,8.948,47.6,4.4,10.0,2,1,22.26
S0215,Press 1,11.658,53.71,8.1,14.8,8,4,21.19
S0215,Press 2,16.976,92.77,35.1,52.6,15,9,20.83
S0215,Press 3,9.773,47.78,4.4,8.0,2,1,21.87
S0216,Press 1,11.52,53.42,12.6,12.2,7,3,20.82
S0216,Press 2,18.36,93.24,32.8,42.5,22,7,20.88
S0216,Press 3,9.131,47.12,6.0,6.7,2,1,22.06
S0217,Press 1,11.877,53.79,14.4,11.8,4,4,21.41
S0217,Press 2,18.03,90.5,50.3,34.9,19,13,22.23
S0217,Press 3,8.946,47.92,3.5,7.6,2,1,21.57
S0218,Press 1,12.486,54.11,8.4,16.3,6,3,21.06
S0218,Press 2,17.838,91.83,62.4,50.7,26,13,21.86
S0218,Press 3,9.788,46.57,4.0,6.2,3,1,20.75
S0219,Press 1,12.374,55.14,13.6,13.7,4,2,20.92
S0219,Press 2,17.564,88.86,48.4,50.4,17,15,20.72
S0219,Press 3,9.236,46.95,5.5,7.9,2,1,20.83
S0220,Press 1,11.379,53.61,10.7,17.2,6,3,21.92
S0220,Press 2,16.829,90.3,48.7,44.3,17,15,21.58
S0220,Press 3,9.639,49.35,4.2,10.2,2,1,21.98
S0221,Press 1,12.713,55.89,8.3,16.9,5,3,21.48
S0221,Press 2,17.523,91.9,32.0,49.5,26,14,21.19
S0221,Press 3,8.892,47.91,4.2,6.7,2,1,21.43
S0222,Press 1,12.243,55.83,11.2,17.0,5,2,21.61
S0222,Press 2,17.544,91.19,46.3,43.3,19,14,21.0
S0222,Press 3,9.261,46.75,6.4,5.4,2,1,22.0
S0223,Press 1,12.382,56.35,14.3,13.3,6,4,20.65
S0223,Press 2,17.452,91.59,42.6,25.2,14,10,21.4
S0223,Press 3,9.239,47.55,5.8,8.7,2,1,21.86
S0224,Press 1,12.094,54.2,14.0,16.4,5,3,20.96
S0224,Press 2,16.856,92.55,47.4,39.5,14,10,20.88
S0224,Press 3,9.551,49.1,3.8,6.5,2,1,21.83
S0225,Press 1,11.309,53.94,12.2,10.2,4,4,21.99
S0225,Press 2,18.333,89.7,54.5,53.9,24,12,21.12
S0225,Press 3,9.346,49.13,5.6,8.5,3,1,22.14
S0226,Press 1,11.879,54.38,7.6,8.5,4,4,21.39
S0226,Press 2,16.815,91.56,51.8,53.7,25,11,20.74
S0226,Press 3,9.764,48.06,3.2,6.4,1,1,21.2
S0227,Press 1,11.583,55.62,11.6,15.5,7,3,20.75
S0227,Press 2,17.592,91.3,30.8,26.7,12,13,20.91
S0227,Press 3,8.917,47.08,5.0,9.4,2,1,21.7
S0228,Press 1,12.101,54.47,7.3,16.1,4,3,20.85
S0228,Press 2,17.975,89.73,36.3,54.5,12,10,21.09
S0228,Press 3,9.819,48.07,3.8,6.3,2,1,22.04
S0229,Press 1,12.094,53.42,15.0,9.2,8,3,21.98
S0229,Press 2,16.992,93.18,61.5,45.3,18,9,22.3
S0229,Press 3,9.051,47.56,5.1,5.8,2,1,21.65
S0230,Press 1,12.539,53.71,14.2,11.5,8,2,20.95
S0230,Press 2,18.115,91.64,55.8,50.2,23,15,22.03
S0230,Press 3,9.201,46.58,5.2,8.5,2,1,21.73
S0231,Press 1,11.415,56.32,12.7,9.9,5,3,21.25
S0231,Press 2,17.311,89.18,53.9,33.7,15,12,22.09
S0231,Press 3,9.532,46.6,4.7,9.1,2,1,22.0
S0232,Press 1,12.383,54.33,10.3,10.6,6,3,20.64
S0232,Press 2,17.822,90.38,51.3,43.5,25,13,20.82
S0232,Press 3,9.319,49.17,5.6,5.8,3,1,21.78
S0233,Press 1,11.612,56.53,9.8,11.1,6,3,22.03
S0233,Press 2,17.866,88.92,55.0,38.7,13,11,21.14
S0233,Press 3,9.719,48.1,4.7,9.7,2,1,21.19
S0234,Press 1,11.351,56.23,15.4,14.8,6,4,21.59
S0234,Press 2,17.217,92.33,44.7,34.9,23,11,21.19
S0234,Press 3,9.897,46.56,5.6,5.0,3,1,21.21
S0235,Press 1,11.702,55.38,8.2,18.1,5,3,20.99
S0235,Press 2,18.416,93.44,61.8,34.0,24,12,22.0
S0235,Press 3,8.97,47.44,6.0,8.8,2,1,22.28
S0236,Press 1,11.504,56.35,13.8,11.0,5,4,22.27
S0236,Press 2,18.06,88.71,42.7,34.8,21,12,21.2
S0236,Press 3,9.569,48.41,6.8,7.8,2,1,22.2
S0237,Press 1,11.324,56.14,10.4,18.7,6,2,22.19
S0237,Press 2,16.848,91.28,51.4,30.4,23,9,21.47
S0237,Press 3,9.672,47.21,6.4,6.4,1,1,20.97
S0238,Press 1,11.605,54.62,8.2,10.6,7,4,22.28
S0238,Press 2,18.37,89.35,43.8,41.1,21,10,21.4
S0238,Press 3,9.427,48.33,5.5,6.2,2,1,21.76
S0239,Press 1,11.46,55.28,10.2,12.4,7,2,22.2
S0239,Press 2,17.806,88.28,45.8,25.5,20,12,20.87
S0239,Press 3,9.715,47.83,3.5,6.8,3,1,21.17
S0240,Press 1,11.747,55.81,8.1,11.2,7,3,21.23
S0240,Press 2,16.61,90.7,53.5,35.8,22,10,22.35
S0240,Press 3,9.732,46.93,6.5,10.2,3,1,22.25
